JK:				9H, 9S, 9C, JC, AC
East: -10C 		10H, 10C, KH, KC, QH

JK:	-10C +C 	9C, JC, KC, 10C, QH
West: 			AS, 9D, QS, KS, AD
KJ: 			**, **, **, **, **
East: 			10S, JS, 10D, QD, KH

JK:				9D, 9H, 9S, 9C, JC
West: -AH 		KD, AH, KS, 10H, QC
KJ: 			QD, JD, QS, QH, 10S
East: +H 		AD, 10D, AS, JH, KC

JK:				9D, 9S, 10S, 10D, KD
West: 			QD, QS, 10H, JC, AH
KJ: -9H 		JD, KS, QC, KC, AC
East: +S 		AD, JS, KH, 10C, AS

JK:				AS, KD, 10H, QC, 10S 
West: 			QS, JD, 9D, AC, KS
KJ: 			10D, 9C, QH, JS, 10C
East: -KC +C 	KC, AD, KH, AH, JC

JK:	-AD 		JH, QH, AC, 10C, KC
West: +S 		JS, 9H, 10S, AS, 9D
KJ: 			JC, AH, QC, QD, KD
East: 			9S, 10H, 9C, QS, JD

JK:				9D, 9H, KH, KS, KC 
West: -AH +H 	QH, JH, JD, JS, AH
KJ: 			KD, 10H, 9S, 10C, QD
East: 			10D, 9C, JC, AS, AC

JK:				9C, 10C, QC, JD, KC
West: -AD 		JC, KH, 9D, AH, AD
KJ: 			AC, 9S, JS, 10H, 10D
East: +D 		QD, AS, QS, QH, JH

JK:	+H 			10H, AC, 10C, AH, 10D
West: 			9S, QC, AD, KD, AS
KJ: -9H 		9C, JC, JH, QH, 9H
East: 			KS, KC, 9D, QS, JS

JK:	+S 			QD, JC, JH, JS, QH
West: 			9S, KC, KH, QS, 10H
KJ: 			9D, 10C, AH, KS, JD
East: -QC 		KD, 9C, 9H, AS, 10S

JK:	-10H +C 	9C, JD, QD, JC, KC
West: 			AH, AD, KH, AS, 9H
KJ: 			JH, 9D, AC, QS, 9S
East: 			QH, 10D, KD, KS, QC

JK:	+C 			JH, 9C, 10C, JS, QC
West: -10H 		KS, KC, AD, AC, QD
KJ: 			AS, AH, 9H, QH, QS
East: 			10S, KH, 9D, JC, KD

JK:	+C 			KC, JS, AC, KD, 9D
West: 			10S, 9H, KS, JD, QD
KJ: -JC 		**, **, **, **, **
East: 			AS, 10C, JH, QD, KH

JK:				AC, JC, 9H, 10D, JS
West: +D 		KC, AS, KS, 9D, JD
KJ: 			10C, QD, AH, 10H, QS
East: -AD 		9C, QC, KD, JH, AD

JK:	-AC +C 		9D, 10C, JS, AC, KD
West: 			AD, 9S, 9H, JH, JD
KJ: 			QD, 10S, JC, QS, 10H
East: 			QC, AS, AH, QH, KH 
